epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,1649.12,0.25525,0.20705,0.82248,0.99624,0.99762,0.99496,0.98322,0.11721,0.10689,0.68579,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1689.23,0.25481,0.20674,0.82148,0.99711,0.99813,0.99492,0.98381,0.11533,0.2071,0.68252,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1728.91,0.25162,0.20503,0.8209,0.99548,0.99698,0.99494,0.98372,0.11606,0.10985,0.68403,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,1768.67,0.25245,0.20497,0.82091,0.99496,0.99831,0.99488,0.98493,0.11289,0.1094,0.68152,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,1808.17,0.2472,0.20399,0.81919,0.99834,0.99797,0.995,0.9841,0.1131,0.11289,0.68102,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,1847.59,0.24839,0.20214,0.81878,0.99633,0.996,0.99497,0.98443,0.11408,0.11743,0.68198,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,1886.52,0.24628,0.20187,0.8198,0.99587,0.99759,0.99499,0.98635,0.10915,0.10706,0.68142,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,1926.18,0.24355,0.19891,0.81786,0.9965,0.99784,0.99497,0.98572,0.1094,0.11864,0.68267,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1966.12,0.24389,0.19842,0.81859,0.99741,0.99606,0.99498,0.98551,0.10651,0.16554,0.68031,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2005.69,0.23776,0.1954,0.81717,0.99669,0.99755,0.99496,0.98512,0.11265,0.10851,0.68124,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2045.51,0.23607,0.19644,0.81693,0.99587,0.99629,0.99493,0.98433,0.10431,0.0992,0.68077,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2085.2,0.23496,0.19269,0.8161,0.99784,0.99689,0.99498,0.98761,0.0998,0.09722,0.67925,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,2124.83,0.23547,0.19343,0.81791,0.99819,0.99713,0.995,0.98584,0.10244,0.09841,0.67945,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2164.9,0.23579,0.19235,0.8188,0.99735,0.99715,0.99499,0.98686,0.09976,0.09569,0.679,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,2204.93,0.23433,0.19258,0.81691,0.99859,0.99749,0.995,0.98696,0.10028,0.10182,0.67921,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2244.37,0.23251,0.19222,0.8179,0.99795,0.99834,0.99499,0.98672,0.10076,0.10227,0.67926,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2283.65,0.22917,0.19043,0.81591,0.99751,0.99815,0.99496,0.98699,0.09853,0.10305,0.67846,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,2323.24,0.22622,0.186,0.81534,0.99722,0.99804,0.995,0.98683,0.09737,0.09568,0.67838,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,2362.58,0.22703,0.18754,0.81426,0.99725,0.99734,0.99484,0.98814,0.09517,0.10568,0.67659,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,2401.81,0.22365,0.18717,0.81488,0.9982,0.99713,0.995,0.98952,0.09159,0.09174,0.67817,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
